fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,fl_atipico,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO
20250701,20250701,15818,G Regular,2025-04-28 00:00:00,0.0298,2025-05-05 12:10:01,0,0.0298,0,6712a90afd,21f2e15b7a
20250701,20250701,15819,G Regular,2025-03-07 00:00:00,1.074,2025-03-14 12:10:02,0,1.074,0.009,ae79ee44db,1c8735200b
20250701,20250701,15820,G Regular,2025-02-16 00:00:00,37.832,2025-02-23 12:10:02,0,37.832,0.037,3dcd3239e2,83ae64708f
20250701,20250701,15821,G Regular,2025-02-15 00:00:00,6.26,2025-02-22 12:10:02,0,6.26,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15822,G Regular,2025-03-05 00:00:00,12.736,2025-03-12 12:10:03,0,12.736,0.187,8709d6cc57,40a28403d5
20250701,20250701,15823,G Regular,2025-03-18 00:00:00,1.45936,2025-03-25 12:11:50,0,1.45936,0.00795,6ef1e6909e,9fc7ed4647
20250701,20250701,15824,G90,2025-04-01 00:00:00,0,2025-04-08 12:10:02,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15825,G Regular,2025-04-28 00:00:00,46.408,2025-05-05 12:10:01,0,46.408,0.037,3dcd3239e2,83ae64708f
20250701,20250701,15826,G Regular,2025-03-16 00:00:00,47.40226,2025-03-23 12:10:02,0,47.40226,0.40085,88e7fc29c2,55376407d5
20250701,20250701,15827,G Regular,2025-05-10 00:00:00,0.0065,2025-05-17 12:12:28,0,0.0065,0,6712a90afd,21f2e15b7a
20250701,20250701,15828,G Regular,2025-03-29 00:00:00,9.527,2025-04-05 12:10:02,0,9.527,0.174,4fb94f5f59,2a0054029a
20250701,20250701,15829,G Regular,2025-05-11 00:00:00,0.0065,2025-05-18 12:10:02,0,0.0065,0,6712a90afd,21f2e15b7a
20250701,20250701,15830,G Regular,2025-03-26 00:00:00,111.179,2025-04-02 12:10:02,0,111.179,16.397,f031034954,f187d23508
20250701,20250701,15831,G Regular,2025-04-11 00:00:00,51.127,2025-04-18 12:10:02,0,51.127,0.988,7af60c0b21,ad3d0cc25f
20250701,20250701,15832,G Regular,2025-04-02 00:00:00,4.739,2025-04-09 12:10:01,0,4.739,0.067,aa1f2db9b4,bd9a626c4f
20250701,20250701,15833,G Regular,2025-04-10 00:00:00,5.465,2025-04-17 12:10:02,0,5.465,0.187,8709d6cc57,40a28403d5
20250701,20250701,15834,G Regular,2025-03-18 00:00:00,10.416,2025-03-25 12:11:50,0,10.416,0.126,2127ae39c1,fdb7133ee2
20250701,20250701,15835,G Regular,2025-03-16 00:00:00,41.1738,2025-03-23 12:10:02,0,41.1738,4.817,98feeeb363,335ac645f3
20250701,20250701,15836,G Regular,2025-04-01 00:00:00,77.617,2025-04-08 12:10:02,0,77.617,0.338,4cf95d140f,6c0c0fb3aa
20250701,20250701,15837,G Regular,2025-03-16 00:00:00,34.76613,2025-03-23 12:10:02,0,34.76613,1.13,5860127617,637582e70e
20250701,20250701,15838,G Regular,2025-03-18 00:00:00,6.904,2025-03-25 12:11:50,0,6.904,0.064,9a938afd95,06e27f564f
20250701,20250701,15839,G Regular,2025-05-10 00:00:00,3.8893,2025-05-17 12:12:28,0,3.8893,0.03047,c9eb29fe21,3c4ef02753
20250701,20250701,15840,G90,2025-01-24 00:00:00,0,2025-01-31 12:10:02,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15841,G Regular,2025-01-17 00:00:00,46.70686,2025-01-24 12:10:02,0,46.70686,1.13,5860127617,637582e70e
20250701,20250701,15842,G Regular,2025-01-19 00:00:00,8.724,2025-01-26 12:10:02,0,8.724,0.038,2127ae39c1,fdb7133ee2
20250701,20250701,15843,G Regular,2025-01-21 00:00:00,24.264,2025-01-28 12:10:02,0,24.264,0.047,b7c0f5e3b5,693e66b85d
20250701,20250701,15844,G Regular,2025-01-26 00:00:00,7.731,2025-02-02 12:10:05,0,7.731,0.173,4fb94f5f59,2a0054029a
20250701,20250701,15845,G Regular,2025-01-09 00:00:00,36.737,2025-01-16 12:10:02,0,36.737,0.988,7af60c0b21,ad3d0cc25f
20250701,20250701,15846,G Regular,2025-01-30 00:00:00,13.852,2025-02-06 12:10:02,0,13.852,0.186,8709d6cc57,40a28403d5
20250701,20250701,15847,G Regular,2025-01-19 00:00:00,9.227,2025-01-26 12:10:02,0,9.227,0.065,9a938afd95,06e27f564f
20250701,20250701,15848,G Regular,2025-02-03 00:00:00,6.483,2025-02-10 12:10:02,0,6.483,0.173,4fb94f5f59,2a0054029a
20250701,20250701,15849,G Regular,2025-01-29 00:00:00,1.65664,2025-02-05 12:10:02,0,1.65664,0.11154,13c3a19c48,0af6a53b9b
20250701,20250701,15850,G Regular,2025-01-22 00:00:00,224.833,2025-01-29 12:10:02,0,224.833,35.355,aef48fddb6,7cf5cc2019
20250701,20250701,15851,G Regular,2025-01-21 00:00:00,81.915,2025-01-28 12:10:02,0,81.915,15.741,f031034954,f187d23508
20250701,20250701,15852,G Regular,2025-01-09 00:00:00,14.301,2025-01-16 12:10:02,0,14.301,0.186,8709d6cc57,40a28403d5
20250701,20250701,15853,G Regular,2025-01-24 00:00:00,104.321,2025-01-31 12:10:02,0,104.321,0.337,4cf95d140f,6c0c0fb3aa
20250701,20250701,15854,G Regular,2025-02-02 00:00:00,7.798,2025-02-09 12:10:02,0,7.798,0.065,9a938afd95,06e27f564f
20250701,20250701,15855,G90,2025-01-22 00:00:00,0,2025-01-29 12:10:02,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15856,G Regular,2025-01-09 00:00:00,4.379,2025-01-16 12:10:02,0,4.379,0.068,aa1f2db9b4,bd9a626c4f
20250701,20250701,15857,G Regular,2025-01-26 00:00:00,22.554,2025-02-02 12:10:05,0,22.554,0.047,b7c0f5e3b5,693e66b85d
20250701,20250701,15858,G Regular,2025-01-30 00:00:00,5.326,2025-02-06 12:10:02,0,5.326,0.068,aa1f2db9b4,bd9a626c4f
20250701,20250701,15859,G Regular,2025-02-07 00:00:00,5.938,2025-02-14 12:10:01,0,5.938,0.173,4fb94f5f59,2a0054029a
20250701,20250701,15860,G Regular,2025-02-10 00:00:00,62.254,2025-02-17 12:10:01,0,62.254,0.037,3dcd3239e2,83ae64708f
