fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO,cantidad_mb_scaled,cantidad_mb_lim_scaled,vlmen_fndo_ttal_scaled
20250701,20250701,2315,Diesel,2025-05-28 00:00:00,258.979,2025-06-04 12:10:02,258.979,48.011,f031034954,f187d23508,2.2612453821034046,2.2612453821034046,3.7939259187608556
20250701,20250701,2316,Diesel,2025-06-21 00:00:00,14.49627,2025-06-28 12:10:02,14.49627,2.373,5860127617,637582e70e,-0.27307472965569074,-0.27307472965569074,-0.08892070025398921
20250701,20250701,2317,Diesel,2025-05-23 00:00:00,80.725,2025-05-30 12:11:38,80.725,5.828,7af60c0b21,ad3d0cc25f,0.4134555721585231,0.4134555721585231,0.20502809392402668
20250701,20250701,2318,Diesel,2025-05-23 00:00:00,64.183,2025-05-30 12:11:38,64.183,2.276,8709d6cc57,40a28403d5,0.24198037925340898,0.24198037925340898,-0.09717338709487709
20250701,20250701,2319,Diesel,2025-05-23 00:00:00,75.714,2025-05-30 12:11:38,75.714,1.795,aa1f2db9b4,bd9a626c4f,0.3615112974851144,0.3615112974851144,-0.13809650431618697
20250701,20250701,2320,Diesel,2025-06-04 00:00:00,5.00201,2025-06-11 12:10:02,5.00201,0.48029,13c3a19c48,0af6a53b9b,-0.3714926999731439,-0.3714926999731439,-0.24995103953869904
20250701,20250701,2321,Diesel,2025-06-09 00:00:00,4.39023,2025-06-16 12:10:02,4.39023,0.48029,13c3a19c48,0af6a53b9b,-0.3778344418130357,-0.3778344418130357,-0.24995103953869904
20250701,20250701,2322,Diesel,2025-06-23 00:00:00,4.97205,2025-06-30 12:10:02,4.97205,0.48029,13c3a19c48,0af6a53b9b,-0.371803266819924,-0.371803266819924,-0.24995103953869904
20250701,20250701,2323,Diesel,2025-06-24 00:00:00,4.68065,2025-06-30 12:10:02,4.68065,0.48029,13c3a19c48,0af6a53b9b,-0.37482393368079636,-0.37482393368079636,-0.24995103953869904
20250701,20250701,2324,Diesel,2025-06-25 00:00:00,5.78558,2025-06-30 12:10:02,5.78558,0.48029,13c3a19c48,0af6a53b9b,-0.3633701744680864,-0.3633701744680864,-0.24995103953869904
20250701,20250701,2325,Diesel,2025-06-26 00:00:00,4.84875,2025-06-30 12:10:02,4.84875,0.48029,13c3a19c48,0af6a53b9b,-0.37308140073874885,-0.37308140073874885,-0.24995103953869904
20250701,20250701,2326,Diesel,2025-06-27 00:00:00,5.44617,2025-06-30 12:10:02,5.44617,0.48029,13c3a19c48,0af6a53b9b,-0.36688851537147926,-0.36688851537147926,-0.24995103953869904
20250701,20250701,2327,Diesel,2025-06-28 00:00:00,6.16734,2025-06-30 12:10:02,6.16734,0.48029,13c3a19c48,0af6a53b9b,-0.35941283136305335,-0.35941283136305335,-0.24995103953869904
20250701,20250701,2328,Diesel,2025-06-29 00:00:00,5.66438,2025-06-30 12:10:02,5.66438,0.48029,13c3a19c48,0af6a53b9b,-0.3646265396826977,-0.3646265396826977,-0.24995103953869904
20250701,20250701,2329,Diesel,2025-06-30 00:00:00,5.66438,2025-06-30 12:10:02,5.66438,0.48029,13c3a19c48,0af6a53b9b,-0.3646265396826977,-0.3646265396826977,-0.24995103953869904
20250701,20250701,2330,Diesel,2025-06-09 00:00:00,0.04357,2025-06-16 12:10:02,0.04357,0.0,6712a90afd,21f2e15b7a,-0.42289213507823603,-0.42289213507823603,-0.29081375049550345
20250701,20250701,2331,Diesel,2025-06-04 00:00:00,3.19421,2025-06-11 12:10:02,3.19421,0.02002,c9eb29fe21,3c4ef02753,-0.390232444486133,-0.390232444486133,-0.28911046399494084
20250701,20250701,2332,Diesel,2025-06-23 00:00:00,0.04876,2025-06-30 12:10:02,0.04876,0.0,6712a90afd,21f2e15b7a,-0.42283833528067966,-0.42283833528067966,-0.29081375049550345
20250701,20250701,2333,Diesel,2025-06-24 00:00:00,0.04876,2025-06-30 12:10:02,0.04876,0.0,6712a90afd,21f2e15b7a,-0.42283833528067966,-0.42283833528067966,-0.29081375049550345
20250701,20250701,2334,Diesel,2025-06-25 00:00:00,0.0969,2025-06-30 12:10:02,0.0969,0.0,6712a90afd,21f2e15b7a,-0.42233931365170785,-0.42233931365170785,-0.29081375049550345
20250701,20250701,2335,Diesel,2025-06-26 00:00:00,0.1806,2025-06-30 12:10:02,0.1806,0.0,6712a90afd,21f2e15b7a,-0.421471675298053,-0.421471675298053,-0.29081375049550345
